	index	average_score
509	lig_510	-834.469
510	lig_511	-833.815
511	lig_512	-718.147
512	lig_513	-783.188
513	lig_514	-760.395
514	lig_515	-839.296
515	lig_516	-773.028
516	lig_517	-808.477
517	lig_518	-800.178
518	lig_519	-675.046
519	lig_520	-800.763
520	lig_521	-805.035
521	lig_522	-848.114
522	lig_523	-819.063
523	lig_524	-657.696
524	lig_525	-846.159
525	lig_526	-802.119
526	lig_527	-818.867
527	lig_528	-822.851
528	lig_529	-870.492
529	lig_530	-814.231
530	lig_531	-815.281
531	lig_532	-793.294
532	lig_533	-813.703
533	lig_534	-798.73
534	lig_535	-805.229
535	lig_536	-820.226
536	lig_537	-816.985
537	lig_538	-797.698
538	lig_539	-787.569
539	lig_540	-770.735
540	lig_541	-680.171
541	lig_542	-800.08
542	lig_543	-797.88
543	lig_544	-812.317
544	lig_545	-818.631
545	lig_546	-845.159
546	lig_547	-792.608
547	lig_548	-796.018
548	lig_549	-757.154
549	lig_550	-765.095
550	lig_551	-820.21
551	lig_552	-764.755
552	lig_553	-806.308
553	lig_554	-674.152
554	lig_555	-793.753
555	lig_556	-788.179
556	lig_557	-824.157
557	lig_558	-782.418
558	lig_559	-857.948
559	lig_560	-813.681
560	lig_561	-811.754
561	lig_562	-823.988
562	lig_563	-873.811
563	lig_564	-842.216
564	lig_565	-814.121
565	lig_566	-824.613
566	lig_567	-767.583
567	lig_568	-787.962
568	lig_569	-817.812
569	lig_570	-822.91
570	lig_571	-797.672
571	lig_572	-848.314
572	lig_573	-808.795
573	lig_574	-805.214
574	lig_575	-804.122
575	lig_576	-790.402
576	lig_577	-855.402
577	lig_578	-844.848
578	lig_579	-791.697
579	lig_580	-832.711
580	lig_581	-884.31
581	lig_582	-794.78
582	lig_583	-832.451
583	lig_584	-836.862
584	lig_585	-781.778
585	lig_586	-867.267
586	lig_587	-849.506
587	lig_588	-908.491
588	lig_589	-827.869
589	lig_590	-811.964
590	lig_591	-831.598
591	lig_592	-704.671
592	lig_593	-850.185
593	lig_594	-871.718
594	lig_595	-859.56
595	lig_596	-838.976
596	lig_597	-858.923
597	lig_598	-803.59
598	lig_599	-811.882
599	lig_600	-821.039
600	lig_601	-844.591
601	lig_602	-816.484
602	lig_603	-859.778
603	lig_604	-814.594
604	lig_605	-828.553
605	lig_606	-802.371
606	lig_607	-827.358
607	lig_608	-849.691
608	lig_609	-862.087
609	lig_610	-781.214
610	lig_611	-820.492
611	lig_612	-796.418
612	lig_613	-859.714
613	lig_614	-796.595
614	lig_615	-784.844
615	lig_616	-847.702
616	lig_617	-878.982
617	lig_618	-809.759
618	lig_619	-858.279
619	lig_620	-811.204
620	lig_621	-842.608
621	lig_622	-767.917
622	lig_623	-866.159
623	lig_624	-836.414
624	lig_625	-852.535
625	lig_626	-878.531
626	lig_627	-837.094
627	lig_628	-834.115
628	lig_629	-787.776
629	lig_630	-675.228
630	lig_631	-849.511
631	lig_632	-833.524
632	lig_633	-777.133
633	lig_634	-883.906
634	lig_635	-780.517
635	lig_636	-852.306
636	lig_637	-808.193
637	lig_638	-916.826
638	lig_639	-836.184
639	lig_640	-841.752
640	lig_641	-886.882
641	lig_642	-797.493
642	lig_643	-903.657
643	lig_644	-842.195
644	lig_645	-811.32
645	lig_646	-855.521
646	lig_647	-880.111
647	lig_648	-844.868
648	lig_649	-849.397
649	lig_650	-778.494
650	lig_651	-855.55
651	lig_652	-807.238
652	lig_653	-807.851
653	lig_654	-759.87
654	lig_655	-798.15
655	lig_656	-834.809
656	lig_657	-797.911
657	lig_658	-876.531
658	lig_659	-775.776
659	lig_660	-842.752
660	lig_661	-858.921
661	lig_662	-908.408
662	lig_663	-786.18
663	lig_664	-866.558
664	lig_665	-830.699
665	lig_666	-793.771
666	lig_667	-819.369
667	lig_668	-814.632
668	lig_669	-805.458
